,Grand Prix,Driver,Car,Time,year,Code
371,Caesar's Palace,Michele  Alboreto ,Tyrrell Ford,1:19.639,1982,ALB
372,Brazil,Nelson  Piquet ,Brabham BMW,1:39.829,1983,PIQ
373,USA West,Niki  Lauda ,McLaren TAG,1:28.330,1983,LAU
374,France,Alain  Prost ,Renault,1:42.695,1983,PRO
375,San Marino,Riccardo  Patrese ,Brabham BMW,1:34.437,1983,PAT
376,Monaco,Nelson  Piquet ,Brabham BMW,1:27.283,1983,PIQ
377,Belgium,Andrea  de Cesaris ,Alfa Romeo,2:07.493,1983,DEC
378,Detroit,John  Watson ,McLaren TAG,1:47.668,1983,WAT
379,Canada,Patrick  Tambay ,Ferrari,1:30.851,1983,TAM
380,Great Britain,Alain  Prost ,Renault,1:14.212,1983,PRO
381,Germany,Rene  Arnoux ,Ferrari,1:53.938,1983,ARN
382,Austria,Alain  Prost ,Renault,1:33.961,1983,PRO
383,Netherlands,Rene  Arnoux ,Ferrari,1:19.863,1983,ARN
384,Italy,Nelson  Piquet ,Brabham BMW,1:34.431,1983,PIQ
385,Europe,Nigel  Mansell ,Lotus Ford,1:14.342,1983,MAN
386,South Africa,Nelson  Piquet ,Brabham BMW,1:09.948,1983,PIQ
387,Brazil,Alain  Prost ,McLaren TAG,1:36.499,1984,PRO
388,South Africa,Patrick  Tambay ,Renault,1:08.877,1984,TAM
389,Belgium,Rene  Arnoux ,Ferrari,1:19.294,1984,ARN
390,San Marino,Nelson  Piquet ,Brabham BMW,1:33.275,1984,PIQ
391,France,Alain  Prost ,McLaren TAG,1:05.257,1984,PRO
392,Monaco,Ayrton  Senna ,Toleman Hart,1:54.334,1984,SEN
393,Canada,Nelson  Piquet ,Brabham BMW,1:28.763,1984,PIQ
394,Detroit,Derek  Warwick ,Renault,1:46.221,1984,WAR
395,Dallas,Niki  Lauda ,McLaren TAG,1:45.353,1984,LAU
396,Great Britain,Niki  Lauda ,McLaren TAG,1:13.191,1984,LAU
397,Germany,Alain  Prost ,McLaren TAG,1:53.538,1984,PRO
398,Austria,Niki  Lauda ,McLaren TAG,1:32.882,1984,LAU
399,Netherlands,Rene  Arnoux ,Ferrari,1:19.465,1984,ARN
400,Italy,Niki  Lauda ,McLaren TAG,1:31.912,1984,LAU
401,Europe,Nelson  Piquet ,Brabham BMW,1:23.146,1984,PIQ
402,Portugal,Niki  Lauda ,McLaren TAG,1:22.996,1984,LAU
403,Brazil,Alain  Prost ,McLaren TAG,1:36.702,1985,PRO
404,Portugal,Ayrton  Senna ,Lotus Renault,1:44.121,1985,SEN
405,San Marino,Michele  Alboreto ,Ferrari,1:30.961,1985,ALB
406,Monaco,Michele  Alboreto ,Ferrari,1:22.637,1985,ALB
407,Canada,Ayrton  Senna ,Lotus Renault,1:27.445,1985,SEN
408,Detroit,Ayrton  Senna ,Lotus Renault,1:45.612,1985,SEN
409,France,Keke  Rosberg ,Williams Honda,1:39.914,1985,ROS
410,Great Britain,Alain  Prost ,McLaren TAG,1:09.886,1985,PRO
411,Germany,Niki  Lauda ,McLaren TAG,1:22.806,1985,LAU
412,Austria,Alain  Prost ,McLaren TAG,1:29.241,1985,PRO
413,Netherlands,Alain  Prost ,McLaren TAG,1:16.538,1985,PRO
414,Italy,Nigel  Mansell ,Williams Honda,1:28.283,1985,MAN
415,Belgium,Alain  Prost ,McLaren TAG,2:01.730,1985,PRO
416,Europe,Jacques  Laffite ,Ligier Renault,1:11.526,1985,LAF
417,South Africa,Keke  Rosberg ,Williams Honda,1:08.149,1985,ROS
418,Australia,Keke  Rosberg ,Williams Honda,1:23.758,1985,ROS
419,Brazil,Nelson  Piquet ,Williams Honda,1:33.546,1986,PIQ
420,Spain,Nigel  Mansell ,Williams Honda,1:27.176,1986,MAN
421,San Marino,Nelson  Piquet ,Williams Honda,1:28.667,1986,PIQ
422,Monaco,Alain  Prost ,McLaren TAG,1:26.607,1986,PRO
423,Belgium,Alain  Prost ,McLaren TAG,1:59.282,1986,PRO
424,Canada,Nelson  Piquet ,Williams Honda,1:25.443,1986,PIQ
425,Detroit,Nelson  Piquet ,Williams Honda,1:41.233,1986,PIQ
426,France,Nigel  Mansell ,Williams Honda,1:09.993,1986,MAN
427,Great Britain,Nigel  Mansell ,Williams Honda,1:09.593,1986,MAN
428,Germany,Gerhard  Berger ,Benetton BMW,1:46.604,1986,BER
429,Hungary,Nelson  Piquet ,Williams Honda,1:31.001,1986,PIQ
430,Austria,Gerhard  Berger ,Benetton BMW,1:29.444,1986,BER
431,Italy,Teo  Fabi ,Benetton BMW,1:28.099,1986,FAB
432,Portugal,Nigel  Mansell ,Williams Honda,1:20.943,1986,MAN
433,Mexico,Nelson  Piquet ,Williams Honda,1:19.360,1986,PIQ
434,Australia,Nelson  Piquet ,Williams Honda,1:20.787,1986,PIQ
435,Brazil,Nelson  Piquet ,Williams Honda,1:33.861,1987,PIQ
436,San Marino,Teo  Fabi ,Benetton Ford,1:29.246,1987,FAB
437,Belgium,Alain  Prost ,McLaren TAG,1:57.153,1987,PRO
438,Monaco,Ayrton  Senna ,Lotus Honda,1:27.685,1987,SEN
439,Detroit,Ayrton  Senna ,Lotus Honda,1:40.464,1987,SEN
440,France,Nelson  Piquet ,Williams Honda,1:09.548,1987,PIQ
441,Great Britain,Nigel  Mansell ,Williams Honda,1:09.832,1987,MAN
442,Germany,Nigel  Mansell ,Williams Honda,1:45.716,1987,MAN
443,Hungary,Nelson  Piquet ,Williams Honda,1:30.149,1987,PIQ
444,Austria,Nigel  Mansell ,Williams Honda,1:28.318,1987,MAN
445,Italy,Ayrton  Senna ,Lotus Honda,1:26.796,1987,SEN
446,Portugal,Gerhard  Berger ,Ferrari,1:19.282,1987,BER
447,Spain,Gerhard  Berger ,Ferrari,1:26.986,1987,BER
448,Mexico,Nelson  Piquet ,Williams Honda,1:19.132,1987,PIQ
449,Japan,Alain  Prost ,McLaren TAG,1:43.844,1987,PRO
450,Australia,Gerhard  Berger ,Ferrari,1:20.416,1987,BER
451,Brazil,Gerhard  Berger ,Ferrari,1:32.943,1988,BER
452,San Marino,Alain  Prost ,McLaren Honda,1:29.685,1988,PRO
453,Monaco,Ayrton  Senna ,McLaren Honda,1:26.321,1988,SEN
454,Mexico,Alain  Prost ,McLaren Honda,1:18.608,1988,PRO
455,Canada,Ayrton  Senna ,McLaren Honda,1:24.973,1988,SEN
456,Detroit,Alain  Prost ,McLaren Honda,1:44.836,1988,PRO
457,France,Alain  Prost ,McLaren Honda,1:11.737,1988,PRO
458,Great Britain,Nigel  Mansell ,Williams Judd,1:23.308,1988,MAN
459,Germany,Alessandro  Nannini ,Benetton Ford,2:03.032,1988,NAN
460,Hungary,Alain  Prost ,McLaren Honda,1:30.639,1988,PRO
461,Belgium,Gerhard  Berger ,Ferrari,2:00.772,1988,BER
462,Italy,Michele  Alboreto ,Ferrari,1:29.070,1988,ALB
463,Portugal,Gerhard  Berger ,Ferrari,1:21.961,1988,BER
464,Spain,Alain  Prost ,McLaren Honda,1:27.845,1988,PRO
465,Japan,Ayrton  Senna ,McLaren Honda,1:46.326,1988,SEN
466,Australia,Alain  Prost ,McLaren Honda,1:21.216,1988,PRO
467,Brazil,Riccardo  Patrese ,Williams Renault,1:32.507,1989,PAT
468,San Marino,Alain  Prost ,McLaren Honda,1:26.795,1989,PRO
469,Monaco,Alain  Prost ,McLaren Honda,1:25.501,1989,PRO
470,Mexico,Nigel  Mansell ,Ferrari,1:20.420,1989,MAN
471,United States,Ayrton  Senna ,McLaren Honda,1:33.969,1989,SEN
472,Canada,Jonathan Palmer ,Tyrrell Ford,1:31.925,1989,PAL
473,France,Mauricio  Gugelmin ,March Judd,1:12.090,1989,GUG
474,Great Britain,Nigel  Mansell ,Ferrari,1:12.017,1989,MAN
475,Germany,Ayrton  Senna ,McLaren Honda,1:45.884,1989,SEN
476,Hungary,Nigel  Mansell ,Ferrari,1:22.637,1989,MAN
477,Belgium,Alain  Prost ,McLaren Honda,2:11.571,1989,PRO
478,Italy,Alain  Prost ,McLaren Honda,1:28.107,1989,PRO
479,Portugal,Gerhard  Berger ,Ferrari,1:18.986,1989,BER
480,Spain,Ayrton  Senna ,McLaren Honda,1:25.779,1989,SEN
481,Japan,Alain  Prost ,McLaren Honda,1:43.506,1989,PRO
482,Australia,Satoru  Nakajima ,Lotus Judd,1:38.480,1989,NAK
483,United States,Gerhard  Berger ,McLaren Honda,1:31.050,1990,BER
484,Brazil,Gerhard  Berger ,McLaren Honda,1:19.899,1990,BER
485,San Marino,Alessandro  Nannini ,Benetton Ford,1:27.156,1990,NAN
486,Monaco,Ayrton  Senna ,McLaren Honda,1:24.468,1990,SEN
487,Canada,Gerhard  Berger ,McLaren Honda,1:22.077,1990,BER
488,Mexico,Alain  Prost ,Ferrari,1:17.958,1990,PRO
489,France,Nigel  Mansell ,Ferrari,1:08.012,1990,MAN
490,Great Britain,Nigel  Mansell ,Ferrari,1:11.291,1990,MAN
491,Germany,Thierry  Boutsen ,Williams Renault,1:45.602,1990,BOU
492,Hungary,Riccardo  Patrese ,Williams Renault,1:22.058,1990,PAT
493,Belgium,Alain  Prost ,Ferrari,1:55.087,1990,PRO
494,Italy,Ayrton  Senna ,McLaren Honda,1:26.254,1990,SEN
495,Portugal,Riccardo  Patrese ,Williams Renault,1:18.306,1990,PAT
496,Spain,Riccardo  Patrese ,Williams Renault,1:24.513,1990,PAT
497,Japan,Riccardo  Patrese ,Williams Renault,1:44.233,1990,PAT
498,Australia,Nigel  Mansell ,Ferrari,1:18.203,1990,MAN
499,United States,Jean  Alesi ,Ferrari,1:26.758,1991,ALE
500,Brazil,Nigel  Mansell ,Williams Renault,1:20.436,1991,MAN
501,San Marino,Gerhard  Berger ,McLaren Honda,1:26.531,1991,BER
502,Monaco,Alain  Prost ,Ferrari,1:24.368,1991,PRO
503,Canada,Nigel  Mansell ,Williams Renault,1:22.385,1991,MAN
504,Mexico,Nigel  Mansell ,Williams Renault,1:16.788,1991,MAN
505,France,Nigel  Mansell ,Williams Renault,1:19.168,1991,MAN
506,Great Britain,Nigel  Mansell ,Williams Renault,1:26.379,1991,MAN
507,Germany,Riccardo  Patrese ,Williams Renault,1:43.569,1991,PAT
508,Hungary,Bertrand  Gachot ,Jordan Ford,1:21.547,1991,GAC
509,Belgium,Roberto  Moreno ,Benetton Ford,1:55.161,1991,MOR
510,Italy,Ayrton  Senna ,McLaren Honda,1:26.061,1991,SEN
511,Portugal,Nigel  Mansell ,Williams Renault,1:18.179,1991,MAN
512,Spain,Riccardo  Patrese ,Williams Renault,1:22.837,1991,PAT
513,Japan,Ayrton  Senna ,McLaren Honda,1:41.532,1991,SEN
514,Australia,Gerhard  Berger ,McLaren Honda,1:41.141,1991,BER
515,South Africa,Nigel  Mansell ,Williams Renault,1:17.578,1992,MAN
516,Mexico,Gerhard  Berger ,McLaren Honda,1:17.711,1992,BER
517,Brazil,Riccardo  Patrese ,Williams Renault,1:19.490,1992,PAT
518,Spain,Nigel  Mansell ,Williams Renault,1:42.503,1992,MAN
519,San Marino,Riccardo  Patrese ,Williams Renault,1:26.100,1992,PAT
520,Monaco,Nigel  Mansell ,Williams Renault,1:21.598,1992,MAN
521,Canada,Gerhard  Berger ,McLaren Honda,1:22.325,1992,BER
522,France,Nigel  Mansell ,Williams Renault,1:17.070,1992,MAN
523,Great Britain,Nigel  Mansell ,Williams Renault,1:22.539,1992,MAN
524,Germany,Riccardo  Patrese ,Williams Renault,1:41.591,1992,PAT
525,Hungary,Nigel  Mansell ,Williams Renault,1:18.308,1992,MAN
526,Belgium,Michael  Schumacher ,Benetton Ford,1:53.791,1992,MSC
527,Italy,Nigel  Mansell ,Williams Renault,1:26.119,1992,MAN
528,Portugal,Ayrton  Senna ,McLaren Honda,1:16.272,1992,SEN
529,Japan,Nigel  Mansell ,Williams Renault,1:40.646,1992,MAN
530,Australia,Michael  Schumacher ,Benetton Ford,1:16.078,1992,MSC
531,South Africa,Alain  Prost ,Williams Renault,1:19.492,1993,PRO
532,Brazil,Michael  Schumacher ,Benetton Ford,1:20.024,1993,MSC
533,Europe,Ayrton  Senna ,McLaren Ford,1:18.029,1993,SEN
534,San Marino,Alain  Prost ,Williams Renault,1:26.128,1993,PRO
535,Spain,Michael  Schumacher ,Benetton Ford,1:20.989,1993,MSC
536,Monaco,Alain  Prost ,Williams Renault,1:23.604,1993,PRO
537,Canada,Michael  Schumacher ,Benetton Ford,1:21.500,1993,MSC
538,France,Michael  Schumacher ,Benetton Ford,1:19.256,1993,MSC
539,Great Britain,Damon  Hill ,Williams Renault,1:22.515,1993,HIL
540,Germany,Michael  Schumacher ,Benetton Ford,1:41.859,1993,MSC
541,Hungary,Alain  Prost ,Williams Renault,1:19.633,1993,PRO
542,Belgium,Alain  Prost ,Williams Renault,1:51.095,1993,PRO
543,Italy,Damon  Hill ,Williams Renault,1:23.575,1993,HIL
544,Portugal,Damon  Hill ,Williams Renault,1:14.859,1993,HIL
545,Japan,Alain  Prost ,Williams Renault,1:41.176,1993,PRO
546,Australia,Damon  Hill ,Williams Renault,1:15.381,1993,HIL
547,Brazil,Michael  Schumacher ,Benetton Ford,1:18.455,1994,MSC
548,Pacific,Michael  Schumacher ,Benetton Ford,1:14.023,1994,MSC
549,San Marino,Damon  Hill ,Williams Renault,1:24.335,1994,HIL
550,Monaco,Michael  Schumacher ,Benetton Ford,1:21.076,1994,MSC
551,Spain,Michael  Schumacher ,Benetton Ford,1:25.155,1994,MSC
552,Canada,Michael  Schumacher ,Benetton Ford,1:28.927,1994,MSC
553,France,Damon  Hill ,Williams Renault,1:19.678,1994,HIL
554,Great Britain,Damon  Hill ,Williams Renault,1:27.100,1994,HIL
555,Germany,David  Coulthard ,Williams Renault,1:46.211,1994,COU
556,Hungary,Michael  Schumacher ,Benetton Ford,1:20.881,1994,MSC
557,Belgium,Damon  Hill ,Williams Renault,1:57.117,1994,HIL
558,Italy,Damon  Hill ,Williams Renault,1:25.930,1994,HIL
559,Portugal,David  Coulthard ,Williams Renault,1:22.446,1994,COU
560,Europe,Michael  Schumacher ,Benetton Ford,1:25.040,1994,MSC
561,Japan,Damon  Hill ,Williams Renault,1:56.597,1994,HIL
562,Australia,Michael  Schumacher ,Benetton Ford,1:17.140,1994,MSC
563,Brazil,Michael  Schumacher ,Benetton Renault,1:20.921,1995,MSC
564,Argentina,Michael  Schumacher ,Benetton Renault,1:30.522,1995,MSC
565,San Marino,Gerhard  Berger ,Ferrari,1:29.568,1995,BER
566,Spain,Damon  Hill ,Williams Renault,1:24.531,1995,HIL
567,Monaco,Jean  Alesi ,Ferrari,1:24.621,1995,ALE
568,Canada,Michael  Schumacher ,Benetton Renault,1:29.174,1995,MSC
569,France,Michael  Schumacher ,Benetton Renault,1:20.218,1995,MSC
570,Great Britain,Damon  Hill ,Williams Renault,1:29.752,1995,HIL
571,Germany,Michael  Schumacher ,Benetton Renault,1:48.824,1995,MSC
572,Hungary,Damon  Hill ,Williams Renault,1:20.247,1995,HIL
573,Belgium,David  Coulthard ,Williams Renault,1:53.412,1995,COU
574,Italy,Gerhard  Berger ,Ferrari,1:26.419,1995,BER
575,Portugal,David  Coulthard ,Williams Renault,1:23.220,1995,COU
576,Europe,Michael  Schumacher ,Benetton Renault,1:21.180,1995,MSC
577,Pacific,Michael  Schumacher ,Benetton Renault,1:16.374,1995,MSC
578,Japan,Michael  Schumacher ,Benetton Renault,1:42.976,1995,MSC
579,Australia,Damon  Hill ,Williams Renault,1:17.943,1995,HIL
580,Australia,Jacques  Villeneuve ,Williams Renault,1:33.421,1996,VIL
581,Brazil,Damon  Hill ,Williams Renault,1:21.547,1996,HIL
582,Argentina,Jean  Alesi ,Benetton Renault,1:29.413,1996,ALE
583,Europe,Damon  Hill ,Williams Renault,1:21.363,1996,HIL
584,San Marino,Damon  Hill ,Williams Renault,1:28.931,1996,HIL
585,Monaco,Jean  Alesi ,Benetton Renault,1:25.205,1996,ALE
586,Spain,Michael  Schumacher ,Ferrari,1:45.517,1996,MSC
587,Canada,Jacques  Villeneuve ,Williams Renault,1:21.916,1996,VIL
588,France,Jacques  Villeneuve ,Williams Renault,1:18.610,1996,VIL
589,Great Britain,Jacques  Villeneuve ,Williams Renault,1:29.288,1996,VIL
590,Germany,Damon  Hill ,Williams Renault,1:46.504,1996,HIL
591,Hungary,Damon  Hill ,Williams Renault,1:20.093,1996,HIL
592,Belgium,Gerhard  Berger ,Benetton Renault,1:53.067,1996,BER
593,Italy,Michael  Schumacher ,Ferrari,1:26.110,1996,MSC
594,Portugal,Jacques  Villeneuve ,Williams Renault,1:22.873,1996,VIL
595,Japan,Jacques  Villeneuve ,Williams Renault,1:44.043,1996,VIL
596,Australia,Heinz-Harald  Frentzen ,Williams Renault,1:30.585,1997,FRE
597,Brazil,Jacques  Villeneuve ,Williams Renault,1:18.397,1997,VIL
598,Argentina,Gerhard  Berger ,Benetton Renault,1:27.981,1997,BER
599,San Marino,Heinz-Harald  Frentzen ,Williams Renault,1:25.531,1997,FRE
600,Monaco,Michael  Schumacher ,Ferrari,1:53.315,1997,MSC
601,Spain,Giancarlo  Fisichella ,Jordan Peugeot,1:22.242,1997,FIS
602,Canada,David  Coulthard ,McLaren Mercedes,1:19.635,1997,COU
603,France,Michael  Schumacher ,Ferrari,1:17.910,1997,MSC
604,Great Britain,Michael  Schumacher ,Ferrari,1:24.475,1997,MSC
605,Germany,Gerhard  Berger ,Benetton Renault,1:45.747,1997,BER
606,Hungary,Heinz-Harald  Frentzen ,Williams Renault,1:18.372,1997,FRE
607,Belgium,Jacques  Villeneuve ,Williams Renault,1:52.692,1997,VIL
608,Italy,Mika  Hakkinen ,McLaren Mercedes,1:24.808,1997,HAK
609,Austria,Jacques  Villeneuve ,Williams Renault,1:11.814,1997,VIL
610,Luxembourg,Heinz-Harald  Frentzen ,Williams Renault,1:18.805,1997,FRE
611,Japan,Heinz-Harald  Frentzen ,Williams Renault,1:38.942,1997,FRE
612,Europe,Heinz-Harald  Frentzen ,Williams Renault,1:23.135,1997,FRE
613,Australia,Mika  Hakkinen ,McLaren Mercedes,1:31.649,1998,HAK
614,Brazil,Mika  Hakkinen ,McLaren Mercedes,1:19.337,1998,HAK
615,Argentina,Alexander  Wurz ,Benetton Playlife,1:28.179,1998,WUR
616,San Marino,Michael  Schumacher ,Ferrari,1:29.345,1998,MSC
617,Spain,Mika  Hakkinen ,McLaren Mercedes,1:24.275,1998,HAK
618,Monaco,Mika  Hakkinen ,McLaren Mercedes,1:22.948,1998,HAK
619,Canada,Michael  Schumacher ,Ferrari,1:19.379,1998,MSC
620,France,David  Coulthard ,McLaren Mercedes,1:17.523,1998,COU
621,Great Britain,Michael  Schumacher ,Ferrari,1:35.704,1998,MSC
622,Austria,David  Coulthard ,McLaren Mercedes,1:12.878,1998,COU
623,Germany,David  Coulthard ,McLaren Mercedes,1:46.116,1998,COU
624,Hungary,Michael  Schumacher ,Ferrari,1:19.286,1998,MSC
625,Belgium,Michael  Schumacher ,Ferrari,2:03.766,1998,MSC
626,Italy,Mika  Hakkinen ,McLaren Mercedes,1:25.139,1998,HAK
627,Luxembourg,Mika  Hakkinen ,McLaren Mercedes,1:20.450,1998,HAK
628,Japan,Michael  Schumacher ,Ferrari,1:40.190,1998,MSC
629,Australia,Michael  Schumacher ,Ferrari,1:32.112,1999,MSC
630,Brazil,Mika  Hakkinen ,McLaren Mercedes,1:18.448,1999,HAK
631,San Marino,Michael  Schumacher ,Ferrari,1:28.547,1999,MSC
632,Monaco,Mika  Hakkinen ,McLaren Mercedes,1:22.259,1999,HAK
633,Spain,Michael  Schumacher ,Ferrari,1:24.982,1999,MSC
634,Canada,Eddie  Irvine ,Ferrari,1:20.382,1999,IRV
635,France,David  Coulthard ,McLaren Mercedes,1:19.227,1999,COU
636,Great Britain,Mika  Hakkinen ,McLaren Mercedes,1:28.309,1999,HAK
637,Austria,Mika  Hakkinen ,McLaren Mercedes,1:12.107,1999,HAK
638,Germany,David  Coulthard ,McLaren Mercedes,1:45.270,1999,COU
639,Hungary,David  Coulthard ,McLaren Mercedes,1:20.699,1999,COU
640,Belgium,Mika  Hakkinen ,McLaren Mercedes,1:53.955,1999,HAK
641,Italy,Ralf  Schumacher ,Williams Supertec,1:25.579,1999,RSC
642,Europe,Mika  Hakkinen ,McLaren Mercedes,1:21.282,1999,HAK
643,Malaysia,Heinz-Harald  Frentzen ,Jordan Mugen Honda,1:40.631,1999,FRE
644,Japan,Michael  Schumacher ,Ferrari,1:41.319,1999,MSC
645,Australia,Rubens  Barrichello ,Ferrari,1:31.481,2000,BAR
646,Brazil,Michael  Schumacher ,Ferrari,1:14.755,2000,MSC
647,San Marino,Mika  Hakkinen ,McLaren Mercedes,1:26.523,2000,HAK
648,Great Britain,Mika  Hakkinen ,McLaren Mercedes,1:26.217,2000,HAK
649,Spain,Mika  Hakkinen ,McLaren Mercedes,1:24.470,2000,HAK
650,Europe,Michael  Schumacher ,Ferrari,1:22.269,2000,MSC
651,Monaco,Mika  Hakkinen ,McLaren Mercedes,1:21.571,2000,HAK
652,Canada,Mika  Hakkinen ,McLaren Mercedes,1:19.049,2000,HAK
653,France,David  Coulthard ,McLaren Mercedes,1:19.479,2000,COU
654,Austria,David  Coulthard ,McLaren Mercedes,1:11.783,2000,COU
655,Germany,Rubens  Barrichello ,Ferrari,1:44.300,2000,BAR
656,Hungary,Mika  Hakkinen ,McLaren Mercedes,1:20.028,2000,HAK
657,Belgium,Rubens  Barrichello ,Ferrari,1:53.803,2000,BAR
658,Italy,Mika  Hakkinen ,McLaren Mercedes,1:25.595,2000,HAK
659,United States,David  Coulthard ,McLaren Mercedes,1:14.711,2000,COU
660,Japan,Mika  Hakkinen ,McLaren Mercedes,1:39.189,2000,HAK
661,Malaysia,Mika  Hakkinen ,McLaren Mercedes,1:38.543,2000,HAK
662,Australia,Michael  Schumacher ,Ferrari,1:28.214,2001,MSC
663,Malaysia,Mika  Hakkinen ,McLaren Mercedes,1:40.962,2001,HAK
664,Brazil,Ralf  Schumacher ,Williams BMW,1:15.693,2001,RSC
665,San Marino,Ralf  Schumacher ,Williams BMW,1:25.524,2001,RSC
666,Spain,Michael  Schumacher ,Ferrari,1:21.151,2001,MSC
667,Austria,David  Coulthard ,McLaren Mercedes,1:10.843,2001,COU
668,Monaco,David  Coulthard ,McLaren Mercedes,1:19.424,2001,COU
669,Canada,Ralf  Schumacher ,Williams BMW,1:17.205,2001,RSC
670,Europe,Juan Pablo  Montoya ,Williams BMW,1:18.354,2001,MOY
671,France,David  Coulthard ,McLaren Mercedes,1:16.088,2001,COU
672,Great Britain,Mika  Hakkinen ,McLaren Mercedes,1:23.405,2001,HAK
673,Germany,Juan Pablo  Montoya ,Williams BMW,1:41.808,2001,MOY
674,Hungary,Mika  Hakkinen ,McLaren Mercedes,1:16.723,2001,HAK
675,Belgium,Michael  Schumacher ,Ferrari,1:49.758,2001,MSC
676,Italy,Ralf  Schumacher ,Williams BMW,1:25.073,2001,RSC
677,United States,Juan Pablo  Montoya ,Williams BMW,1:14.448,2001,MOY
678,Japan,Ralf  Schumacher ,Williams BMW,1:36.944,2001,RSC
679,Australia,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:28.541,2002,RAI
680,Malaysia,Juan Pablo  Montoya ,Williams BMW,1:38.049,2002,MOY
681,Brazil,Juan Pablo  Montoya ,Williams BMW,1:16.079,2002,MOY
682,San Marino,Rubens  Barrichello ,Ferrari,1:24.170,2002,BAR
683,Spain,Michael  Schumacher ,Ferrari,1:20.355,2002,MSC
684,Austria,Michael  Schumacher ,Ferrari,1:09.298,2002,MSC
685,Monaco,Rubens  Barrichello ,Ferrari,1:18.023,2002,BAR
686,Canada,Juan Pablo  Montoya ,Williams BMW,1:15.960,2002,MOY
687,Europe,Michael  Schumacher ,Ferrari,1:32.226,2002,MSC
688,Great Britain,Rubens  Barrichello ,Ferrari,1:23.083,2002,BAR
689,France,David  Coulthard ,McLaren Mercedes,1:15.045,2002,COU
690,Germany,Michael  Schumacher ,Ferrari,1:16.462,2002,MSC
691,Hungary,Michael  Schumacher ,Ferrari,1:16.207,2002,MSC
692,Belgium,Michael  Schumacher ,Ferrari,1:47.176,2002,MSC
693,Italy,Rubens  Barrichello ,Ferrari,1:23.657,2002,BAR
694,United States,Rubens  Barrichello ,Ferrari,1:12.738,2002,BAR
695,Japan,Michael  Schumacher ,Ferrari,1:36.125,2002,MSC
696,Australia,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:27.724,2003,RAI
697,Malaysia,Michael  Schumacher ,Ferrari,1:36.412,2003,MSC
698,Brazil,Rubens  Barrichello ,Ferrari,1:22.032,2003,BAR
699,San Marino,Michael  Schumacher ,Ferrari,1:22.491,2003,MSC
700,Spain,Rubens  Barrichello ,Ferrari,1:20.143,2003,BAR
701,Austria,Michael  Schumacher ,Ferrari,1:08.337,2003,MSC
702,Monaco,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:14.545,2003,RAI
703,Canada,Fernando  Alonso ,Renault,1:16.040,2003,ALO
704,Europe,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:32.621,2003,RAI
705,France,Juan Pablo  Montoya ,Williams BMW,1:15.512,2003,MOY
706,Great Britain,Rubens  Barrichello ,Ferrari,1:22.236,2003,BAR
707,Germany,Juan Pablo  Montoya ,Williams BMW,1:14.917,2003,MOY
708,Hungary,Juan Pablo  Montoya ,Williams BMW,1:22.095,2003,MOY
709,Italy,Michael  Schumacher ,Ferrari,1:21.832,2003,MSC
710,United States,Michael  Schumacher ,Ferrari,1:11.473,2003,MSC
711,Japan,Ralf  Schumacher ,Williams BMW,1:33.408,2003,RSC
712,Australia,Michael  Schumacher ,Ferrari,1:24.125,2004,MSC
713,Malaysia,Juan Pablo  Montoya ,Williams BMW,1:34.223,2004,MOY
714,Bahrain,Michael  Schumacher ,Ferrari,1:30.252,2004,MSC
715,San Marino,Michael  Schumacher ,Ferrari,1:20.411,2004,MSC
716,Spain,Michael  Schumacher ,Ferrari,1:17.450,2004,MSC
717,Monaco,Michael  Schumacher ,Ferrari,1:14.439,2004,MSC
718,Europe,Michael  Schumacher ,Ferrari,1:29.468,2004,MSC
719,Canada,Rubens  Barrichello ,Ferrari,1:13.622,2004,BAR
720,United States,Rubens  Barrichello ,Ferrari,1:10.399,2004,BAR
721,France,Michael  Schumacher ,Ferrari,1:15.377,2004,MSC
722,Great Britain,Michael  Schumacher ,Ferrari,1:18.739,2004,MSC
723,Germany,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:13.780,2004,RAI
724,Hungary,Michael  Schumacher ,Ferrari,1:19.071,2004,MSC
725,Belgium,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:45.108,2004,RAI
726,Italy,Rubens  Barrichello ,Ferrari,1:21.046,2004,BAR
727,China,Michael  Schumacher ,Ferrari,1:32.238,2004,MSC
728,Japan,Rubens  Barrichello ,Ferrari,1:32.730,2004,BAR
729,Brazil,Juan Pablo  Montoya ,Williams BMW,1:11.473,2004,MOY
730,Australia,Fernando  Alonso ,Renault,1:25.683,2005,ALO
731,Malaysia,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:35.483,2005,RAI
732,Bahrain,Pedro  de la Rosa ,McLaren Mercedes,1:31.447,2005,DLR
733,San Marino,Michael  Schumacher ,Ferrari,1:21.858,2005,MSC
734,Spain,Giancarlo  Fisichella ,Renault,1:15.641,2005,FIS
735,Monaco,Michael  Schumacher ,Ferrari,1:15.842,2005,MSC
736,Europe,Fernando  Alonso ,Renault,1:30.711,2005,ALO
737,Canada,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:14.384,2005,RAI
